,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,11th Most Common Venue,12th Most Common Venue,13th Most Common Venue,14th Most Common Venue,15th Most Common Venue,16th Most Common Venue,17th Most Common Venue,18th Most Common Venue,19th Most Common Venue,20th Most Common Venue
0,Achitnagar,13.0911763,77.48348235,3,Indian Restaurant,Stadium,Asian Restaurant,Light Rail Station,Bakery,Yoga Studio,Falafel Restaurant,Food,Flower Shop,Flea Market,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market,Farm,Electronics Store,Food Court,Eastern European Restaurant,Donut Shop,Diner
1,Adugodi,12.9428472,77.6104155,4,Indian Restaurant,Café,Dessert Shop,Chinese Restaurant,Ice Cream Shop,Lounge,Fast Food Restaurant,Pizza Place,Bookstore,Brewery,Multiplex,Juice Bar,Bakery,Bar,Donut Shop,Gym,Coffee Shop,Cosmetics Shop,Kerala Restaurant,Persian Restaurant
2,Amruthahalli,13.0665131,77.5966238,4,Indian Restaurant,Ice Cream Shop,Fast Food Restaurant,Café,Pizza Place,Department Store,Flea Market,Electronics Store,Dhaba,Brewery,Cosmetics Shop,Garden,Coffee Shop,Chinese Restaurant,Resort,Italian Restaurant,Sandwich Place,Building,Bubble Tea Shop,Playground
3,Bagalgunte,13.0566493,77.5048222,3,Restaurant,Indian Restaurant,Pizza Place,Scenic Lookout,Bakery,Gas Station,Cupcake Shop,Eastern European Restaurant,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market,Farm,Cosmetics Shop,Falafel Restaurant,Electronics Store,Creperie,Dance Studio,Donut Shop,Diner
4,Bagalur S.O (Bangalore),13.133186800000002,77.6687093,2,Sports Club,Memorial Site,Yoga Studio,Electronics Store,Food,Flower Shop,Flea Market,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market,Farm,Falafel Restaurant,Eastern European Restaurant,Donut Shop,Diner,Dhaba,Dessert Shop,Department Store,Deli / Bodega
5,Banaswadi,13.0141618,77.6518539,4,Indian Restaurant,Café,Ice Cream Shop,BBQ Joint,Korean Restaurant,Department Store,Chinese Restaurant,Restaurant,Bakery,Kerala Restaurant,Fast Food Restaurant,Coffee Shop,Bistro,Pizza Place,Snack Place,Breakfast Spot,Italian Restaurant,Seafood Restaurant,Brewery,Lounge
6,Basaveshwaranagar,12.986475,77.5385709,4,Indian Restaurant,Ice Cream Shop,Bakery,Fast Food Restaurant,Café,Snack Place,Chinese Restaurant,Breakfast Spot,Pizza Place,Indie Movie Theater,Stadium,Vegetarian / Vegan Restaurant,Seafood Restaurant,Food Truck,Juice Bar,Metro Station,Middle Eastern Restaurant,Playground,Miscellaneous Shop,Gym
7,Bhattarahalli,13.0258004,77.714279,4,Café,Indian Restaurant,Bakery,Korean Restaurant,Pizza Place,Hotel,Dance Studio,Flower Shop,Flea Market,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market,Farm,Falafel Restaurant,Electronics Store,Cupcake Shop,Cricket Ground,Eastern European Restaurant,Food & Drink Shop
8,Byatarayanapura,13.06207355,77.5963916436534,4,Indian Restaurant,Pizza Place,Ice Cream Shop,Fast Food Restaurant,Department Store,Bakery,Café,Coffee Shop,Building,Sandwich Place,Resort,Chinese Restaurant,Cosmetics Shop,Brewery,Electronics Store,Flea Market,Food Court,Garden,Italian Restaurant,Bubble Tea Shop
9,Chickpet,12.9680027,77.578642,3,Indian Restaurant,Hotel,Coffee Shop,Vegetarian / Vegan Restaurant,Theater,Fast Food Restaurant,Bus Station,Miscellaneous Shop,Bed & Breakfast,Karnataka Restaurant,South Indian Restaurant,Italian Restaurant,Bookstore,Shop & Service,Seafood Restaurant,Flower Shop,Flea Market,Breakfast Spot,Stadium,Restaurant
